Response Datetime,Position Justification,Draft Feedback,Other Chartacteristics,Zip Code,Birth Year Range,Source to Discuss Denton,Other Source to Discuss Denton,Type of Projects Interest,Other Type of Projects Interest,Add to City Email List,Response ID,City Residency,Property Ownership,Business Ownership,Student Status,Rentership,Work Locus,Ordinance Position
28:55.0,,,,76201,1980 - 2009,www.cityofdenton.com,,,,No,723212,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Support
21:00.0,,,,None provided,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Parks and Recreation",,Yes,723490,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
26:34.0,Need to know more on the use of restrooms and dressing rooms and transgendered people.  Didn't understand if that is fully addressed or not.,Would like more background on what lead to this?,,76210,1950 - 1979,www.cityofdenton.com,,Transportation and Infrastructure,,No,723507,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
26:41.0,,,,None provided,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723508,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
32:00.0,I think the federal does enough and don't support the City adding categories,,,76205,1980 - 2009,Family or Friend,,"Natural Environment/Resource Conservation, Community/Neighborhood Programs, Parks and Recreation",,No,723527,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
33:26.0,,,,76209,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Transportation and Infrastructure, Trash, Recycling, and Composting",,No,723531,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
39:25.0,"I feel there are many Federal Comprehensive Non-Discrimination laws in place administered by the Federal Government that cover us as Citizens.  I do not want our City Government involved in this and spending City money trying to administer a local Non-Discrimination ordinance.  Our City government should keep to tasks of local government of Police, Fire, Parks and Recreation, Transportation, Public Works, utilities, that provide for us daily.",,,None provided,1930 - 1949,www.cityofdenton.com,,"Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,,723546,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
41:53.0,,,,76210,1930 - 1949,www.cityofdenton.com,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,Yes,723553,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
44:44.0,"Unfortunately, we live in a time where People will shield their hate and fears behind their belief systems.  They will lean hard into what they believe is right, and in doing so leave People out, exclude People, set them up for failure.  I support this ordinance because no Person should be made to feel less than.",,,76210,1980 - 2009,Newspaper/Local News,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723558,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
49:45.0,,,,76208,1950 - 1979,Newspaper/Local News,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723571,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
59:33.0,"There shouldn't be any exceptions,  otherwise I am glad to see people finally moving in the right direction.",,,76208,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability",,Yes,723581,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
07:07.0,,,,76201,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723595,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
10:47.0,"I believe that every person deserves the right to be protected under the law of any discrimination and should include the LGBTQ category.
I am concerned that there are exclusions of certain state, federal and city agencies.",Denton has thousands of students in the higher institutions that are in need of protection.  Fraternity and sorority must be specifically identified and protected but not sure this amendment goes far enough.,,76207,1930 - 1949,Other,,"Planning and Development, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723601,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
11:56.0,Too many exclusions and the penalties aren't high enough to discourage discrimination.,,,76209,1950 - 1979,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723603,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
21:33.0,"I do not believe anyone should be discriminated because of race, sex or religious belief. However I do not believe gender identity is a legitimate defense as there are only two sexes, male or female. I feel gender identity is a mental issue and should not be part of this ordinance.",Don't we have enough laws on the books already to protect against discrimination? It seems like this is just a waste of time and money.,,None provided,1950 - 1979,www.cityofdenton.com,,Transportation and Infrastructure,,Yes,723619,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
35:31.0,I feel it is a waist of city time and resources and is far reaching we could be doing be thing to better our city.,,,76210,1980 - 2009,www.cityofdenton.com,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,,723637,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
14:42.0,,"I do not understand the definition of the word AGE under Sec. 14-203-2. Definitions,  (2) Age shall mean a person forty (40) or more years of age.   Why is this set at 40 years of age?  this makes no sense to me.",,76205,1950 - 1979,www.cityofdenton.com,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723672,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
59:30.0,,,,76209,1950 - 1979,www.cityofdenton.com,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Transportation and Infrastructure, Trash, Recycling, and Composting",,Yes,723704,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works outside Denton,Support
39:24.0,There are laws on the books already covering this topic of non-discrimination and to amend and add additional classes of people is not based on reality.,,,None provided,1950 - 1979,www.cityofdenton.com,,"Community/Neighborhood Programs, Planning and Development, Parks and Recreation, Transportation and Infrastructure",,Yes,723737,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
04:10.0,I support it broadly because I believe that there need to be protections in place for all of the categories listed and that the protections are fairly comprehensive.,"I think that there ought to be assistance in place for filing a complaint because not everybody has access to the resources to print and file a form or the understanding of the system to do so. 

I also do not believe that religious institutions should be exempted because a religious institution that discriminates doesn’t deserve State protection.",,76209,1980 - 2009,City Social Media Account,,"Community/Neighborhood Programs, Transportation and Infrastructure",,Yes,723758,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
09:19.0,This ordinance is unnecessary as there are already laws in place to address most everything in the paperwork. I believe the main issues this ordinance is attempting to do is force society to bend to the wishes of a small minority that want to use opposite gender restrooms or get employment where an employer may not agree with certain lifestyles... which is their right. And then to have the ability to sue when individuals don't get their way.,"If this ordinance is something that the city thinks is required, then there must be an inclusion in the groups of the unvaccinated/vaccinated and masks/no masks. Otherwise it is hypocritical in my opinion. My body, my choice, right? If we are including other groups, then let's not leave ANYONE out. Thanks.",,None provided,1980 - 2009,Newspaper/Local News,,"Natural Environment/Resource Conservation, Parks and Recreation",,,723762,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
34:24.0,These protections are desperately needed.,I hope the city council passes this.,,None provided,1980 - 2009,"Newspaper/Local News, Family or Friend, City Social Media Account",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723780,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Support
51:08.0,"Basic human rights and dignity, like workplace and housing protections, should not be up for debate. This is a long time coming.",,,76207,1980 - 2009,"www.cityofdenton.com, City Social Media Account",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,723829,Resident,Non Property Owner,Non Business Owner,Student,Renter,Works in Denton,Support
